Timestamp,Heart rate,RR intervals
2023-04-29 22:55:08,114,"[524, 513]"
2023-04-29 22:55:08,116,"[507, 511]"
2023-04-29 22:55:10,118,"[503, 497]"
2023-04-29 22:55:11,120,"[493, 484]"
2023-04-29 22:55:11,122,"[496, 487]"
2023-04-29 22:55:13,123,"[487, 480]"
2023-04-29 22:55:14,125,"[490, 486]"
2023-04-29 22:55:14,125,"[485, 486]"
2023-04-29 22:55:16,126,"[486, 484, 491]"
2023-04-29 22:55:17,126,"[493, 506]"
2023-04-29 22:55:17,125,[518]
2023-04-29 22:55:19,123,"[519, 552]"
2023-04-29 22:55:20,119,"[549, 555]"
2023-04-29 22:55:20,117,"[540, 543]"
2023-04-29 22:55:22,115,"[549, 546]"
2023-04-29 22:55:23,114,"[536, 530]"
2023-04-29 22:55:23,115,"[537, 537]"
2023-04-29 22:55:25,115,"[527, 528]"
2023-04-29 22:55:26,116,"[522, 524]"
2023-04-29 22:55:26,116,[533]
2023-04-29 22:55:28,116,"[538, 561]"
2023-04-29 22:55:29,114,"[542, 543]"
2023-04-29 22:55:29,114,"[548, 551]"
2023-04-29 22:55:31,113,[574]
2023-04-29 22:55:32,111,"[623, 658]"
2023-04-29 22:55:32,106,"[600, 604]"
2023-04-29 22:55:34,105,[612]
2023-04-29 22:55:35,104,"[594, 628]"
2023-04-29 22:55:35,102,"[633, 656]"
2023-04-29 22:55:37,101,[637]
2023-04-29 22:55:38,99,"[602, 632]"
2023-04-29 22:55:39,99,"[626, 636]"
2023-04-29 22:55:40,99,[620]
2023-04-29 22:55:41,98,"[639, 649]"
2023-04-29 22:55:42,98,[665]
2023-04-29 22:55:43,96,"[645, 674]"
2023-04-29 22:55:44,95,"[650, 635]"
2023-04-29 22:55:45,95,[599]
2023-04-29 22:55:46,97,"[605, 593]"
2023-04-29 22:55:47,99,"[591, 580]"
2023-04-29 22:55:48,102,"[574, 577]"
2023-04-29 22:55:49,103,[578]
2023-04-29 22:55:50,104,"[583, 575]"
2023-04-29 22:55:51,104,"[593, 615]"
2023-04-29 22:55:52,104,[637]
2023-04-29 22:55:53,101,"[663, 687]"
2023-04-29 22:55:54,99,[650]
2023-04-29 22:55:55,96,"[714, 703]"
2023-04-29 22:55:57,95,[697]
2023-04-29 22:55:57,93,"[642, 620]"
2023-04-29 22:55:58,95,"[621, 617]"
2023-04-29 22:55:59,96,[626]
2023-04-29 22:56:00,97,"[613, 593]"
2023-04-29 22:56:01,98,"[630, 629]"
2023-04-29 22:56:02,98,[616]
2023-04-29 22:56:03,99,"[611, 613]"
2023-04-29 22:56:04,99,"[602, 568]"
2023-04-29 22:56:05,102,"[561, 554]"
2023-04-29 22:56:06,105,"[541, 545]"
2023-04-29 22:56:07,107,[552]
2023-04-29 22:56:19,82,"[735, 687]"
2023-04-29 22:56:20,82,[733]
2023-04-29 22:56:20,83,"[719, 696]"
2023-04-29 22:56:22,84,"[682, 632]"
2023-04-29 22:56:23,85,[632]
2023-04-29 22:56:23,89,"[598, 591]"
2023-04-29 22:56:25,93,"[588, 558]"
2023-04-29 22:56:26,98,"[557, 570]"
2023-04-29 22:56:26,100,[570]
2023-04-29 22:56:28,103,"[578, 569]"
2023-04-29 22:56:29,104,"[589, 595]"
2023-04-29 22:56:29,104,"[602, 590]"
2023-04-29 22:56:31,104,[606]
2023-04-29 22:56:32,103,"[598, 589]"
2023-04-29 22:56:32,103,"[587, 590]"
2023-04-29 22:56:34,104,[601]
2023-04-29 22:56:35,103,"[593, 611]"
2023-04-29 22:56:36,102,"[622, 627]"
2023-04-29 22:56:37,102,[637]
2023-04-29 22:56:38,100,"[654, 650]"
2023-04-29 22:56:38,99,[633]
2023-04-29 22:56:40,98,"[641, 641]"
2023-04-29 22:56:41,98,"[604, 623]"
2023-04-29 22:56:42,98,"[625, 600]"
2023-04-29 22:56:43,99,[595]
2023-04-29 22:56:44,100,"[603, 605]"
2023-04-29 22:56:44,101,"[587, 595]"
2023-04-29 22:56:46,102,[594]
2023-04-29 22:56:47,102,"[582, 609]"
2023-04-29 22:56:48,102,"[604, 599]"
2023-04-29 22:56:50,102,[612]
2023-04-29 22:56:50,102,"[627, 604]"
2023-04-29 22:56:51,101,"[620, 615]"
2023-04-29 22:56:52,101,"[589, 602]"
2023-04-29 22:56:53,101,[596]
2023-04-29 22:56:54,102,"[589, 583]"
2023-04-29 22:56:55,103,"[582, 564]"
2023-04-29 22:56:56,105,"[572, 576]"
2023-04-29 22:56:57,105,[586]
2023-04-29 22:56:59,106,"[571, 599]"
2023-04-29 22:56:59,105,"[581, 596]"
2023-04-29 22:57:00,105,[617]
2023-04-29 22:57:01,103,"[629, 625]"
2023-04-29 22:57:02,101,"[630, 640]"
2023-04-29 22:57:03,100,[622]
2023-04-29 22:57:04,99,"[629, 592]"
2023-04-29 22:57:05,101,"[585, 565]"
2023-04-29 22:57:05,104,"[552, 533]"
2023-04-29 22:57:07,107,"[533, 541]"
2023-04-29 22:57:08,110,"[551, 546]"
2023-04-29 22:57:09,110,[565]
2023-04-29 22:57:10,110,"[577, 593]"
2023-04-29 22:57:11,108,"[598, 595]"
2023-04-29 22:57:12,107,[623]
2023-04-29 22:57:13,104,"[636, 610]"
2023-04-29 22:57:14,103,[626]
2023-04-29 22:57:15,101,"[627, 662]"
2023-04-29 22:57:16,99,"[633, 639]"
2023-04-29 22:57:17,99,[636]
2023-04-29 22:57:18,98,"[612, 611]"
2023-04-29 22:57:29,92,[658]
2023-04-29 22:57:31,92,"[650, 680]"
2023-04-29 22:57:32,92,[688]
2023-04-29 22:57:32,92,"[691, 681]"
2023-04-29 22:57:34,91,[697]
2023-04-29 22:57:35,91,"[683, 633]"
2023-04-29 22:57:36,91,"[678, 661]"
2023-04-29 22:57:37,92,[656]
2023-04-29 22:57:38,93,"[618, 621]"
2023-04-29 22:57:38,94,"[656, 635]"
2023-04-29 22:57:40,94,[599]
2023-04-29 22:57:41,97,"[583, 580]"
2023-04-29 22:57:41,100,"[593, 585]"
2023-04-29 22:57:43,101,[596]
2023-04-29 22:57:44,101,"[608, 577]"
2023-04-29 22:57:44,102,"[603, 600]"
2023-04-29 22:57:46,102,"[604, 594]"
2023-04-29 22:57:47,102,[597]
2023-04-29 22:57:47,102,"[606, 628]"
2023-04-29 22:57:49,102,[600]
2023-04-29 22:57:50,101,"[648, 664]"
2023-04-29 22:57:51,99,[692]
2023-04-29 22:57:52,97,"[651, 669]"
2023-04-29 22:57:53,96,[687]
2023-04-29 22:57:53,94,"[734, 755]"
2023-04-29 22:57:55,92,[686]
2023-04-29 22:57:56,90,"[712, 718]"
2023-04-29 22:57:56,90,[703]
2023-04-29 22:57:58,89,"[643, 615]"
2023-04-29 22:57:59,92,"[613, 610]"
2023-04-29 22:58:00,93,[634]
2023-04-29 22:58:02,94,"[661, 669]"
2023-04-29 22:58:02,94,[646]
2023-04-29 22:58:03,94,[709]
2023-04-29 22:58:04,92,"[739, 753]"
2023-04-29 22:58:05,90,[679]
2023-04-29 22:58:06,90,"[713, 710]"
2023-04-29 22:58:07,89,[719]
2023-04-29 22:58:08,89,"[655, 677]"
2023-04-29 22:58:09,89,[707]
2023-04-29 22:58:10,89,"[710, 676]"
2023-04-29 22:58:11,89,[635]
2023-04-29 22:58:12,90,"[659, 667]"
2023-04-29 22:58:13,91,"[654, 631]"
2023-04-29 22:58:14,92,[635]
2023-04-29 22:58:15,93,"[622, 636]"
2023-04-29 22:58:16,95,"[595, 631]"
2023-04-29 22:58:17,96,[621]
2023-04-29 22:58:18,97,"[610, 622]"
2023-04-29 22:58:19,98,[631]
2023-04-29 22:58:20,98,"[638, 627]"
2023-04-29 22:58:21,98,"[618, 636]"
2023-04-29 22:58:22,98,[634]
2023-04-29 22:58:23,97,"[637, 613]"
2023-04-29 22:58:24,98,[639]
2023-04-29 22:58:26,97,"[666, 701]"
2023-04-29 22:58:26,96,[741]
2023-04-29 22:58:27,92,"[694, 760]"
2023-04-29 22:58:28,91,[750]
2023-04-29 22:58:29,89,"[692, 665]"
2023-04-29 22:58:47,100,"[590, 593]"
2023-04-29 22:58:47,101,"[605, 626]"
2023-04-29 22:58:49,101,[589]
2023-04-29 22:58:50,101,"[620, 625]"
2023-04-29 22:58:50,100,"[603, 597]"
2023-04-29 22:58:52,101,"[599, 593]"
2023-04-29 22:58:53,102,[582]
2023-04-29 22:58:53,103,"[564, 560]"
2023-04-29 22:58:55,106,"[553, 547]"
2023-04-29 22:58:56,108,"[532, 528]"
2023-04-29 22:58:56,111,"[522, 520]"
2023-04-29 22:58:58,114,"[510, 517]"
2023-04-29 22:58:59,116,"[530, 557]"
2023-04-29 22:58:59,115,[568]
2023-04-29 22:59:01,112,"[619, 644]"
2023-04-29 22:59:02,109,[648]
2023-04-29 22:59:02,104,"[662, 695]"
2023-04-29 22:59:04,101,[683]
2023-04-29 22:59:05,97,"[671, 698]"
2023-04-29 22:59:05,96,[683]
2023-04-29 22:59:07,94,"[651, 677]"
2023-04-29 22:59:08,94,"[664, 630]"
2023-04-29 22:59:08,94,[642]
2023-04-29 22:59:10,94,"[642, 620]"
2023-04-29 22:59:11,95,[649]
2023-04-29 22:59:12,95,"[648, 651]"
2023-04-29 22:59:13,95,[648]
2023-04-29 22:59:14,94,"[736, 728]"
2023-04-29 22:59:14,92,[729]
2023-04-29 22:59:17,91,[730]
2023-04-29 22:59:17,89,"[748, 712]"
2023-04-29 22:59:18,88,[688]
2023-04-29 22:59:19,88,"[702, 705]"
2023-04-29 22:59:20,88,[692]
2023-04-29 22:59:21,88,"[695, 712]"
2023-04-29 22:59:22,88,[708]
2023-04-29 22:59:23,88,"[707, 705]"
2023-04-29 22:59:24,88,[680]
2023-04-29 22:59:25,88,"[672, 666]"
2023-04-29 22:59:26,90,"[629, 629]"
2023-04-29 22:59:27,91,[627]
2023-04-29 22:59:29,93,"[646, 632]"
2023-04-29 22:59:29,93,[675]
2023-04-29 22:59:30,93,"[669, 651]"
2023-04-29 22:59:31,93,"[663, 623]"
2023-04-29 22:59:32,94,[620]
2023-04-29 22:59:32,95,"[620, 631]"
2023-04-29 22:59:33,96,"[604, 601]"
2023-04-29 22:59:34,97,[610]
2023-04-29 22:59:36,99,"[605, 584]"
2023-04-29 22:59:37,101,"[596, 600]"
2023-04-29 22:59:38,101,[596]
2023-04-29 22:59:39,102,"[581, 589]"
2023-04-29 22:59:40,103,"[605, 591]"
2023-04-29 22:59:41,103,[596]
2023-04-29 22:59:42,103,"[610, 639]"
2023-04-29 22:59:43,102,[646]
2023-04-29 22:59:44,99,"[650, 679]"
2023-04-29 22:59:45,96,"[688, 634]"
2023-04-29 22:59:46,96,"[637, 606]"
2023-04-29 22:59:58,103,"[572, 597]"
2023-04-29 22:59:59,104,"[577, 559]"
2023-04-29 22:59:59,106,"[544, 570]"
2023-04-29 23:00:01,107,[584]
2023-04-29 23:00:02,106,"[593, 626]"
2023-04-29 23:00:02,105,[672]
2023-04-29 23:00:04,101,"[639, 636]"
2023-04-29 23:00:05,99,"[672, 656]"
2023-04-29 23:00:05,98,[626]
2023-04-29 23:00:07,97,"[632, 649]"
2023-04-29 23:00:08,97,[655]
2023-04-29 23:00:09,97,"[628, 655]"
2023-04-29 23:00:10,96,[670]
2023-04-29 23:00:11,95,"[676, 664]"
2023-04-29 23:00:11,94,[682]
2023-04-29 23:00:13,93,"[691, 695]"
2023-04-29 23:00:14,92,[695]
2023-04-29 23:00:14,91,"[710, 703]"
2023-04-29 23:00:16,90,[685]
2023-04-29 23:00:17,90,[719]
2023-04-29 23:00:18,89,"[738, 731]"
2023-04-29 23:00:19,88,[727]
2023-04-29 23:00:20,87,"[733, 718]"
2023-04-29 23:00:20,87,[690]
2023-04-29 23:00:22,87,"[709, 709]"
2023-04-29 23:00:23,87,[666]
2023-04-29 23:00:23,88,"[698, 683]"
2023-04-29 23:00:25,88,[636]
2023-04-29 23:00:26,89,"[685, 685]"
2023-04-29 23:00:27,89,[642]
2023-04-29 23:00:28,90,"[663, 693]"
2023-04-29 23:00:29,90,[676]
2023-04-29 23:00:30,91,"[661, 669]"
2023-04-29 23:00:31,91,"[646, 629]"
2023-04-29 23:00:32,92,[628]
2023-04-29 23:00:33,94,"[628, 597]"
2023-04-29 23:00:34,96,"[595, 609]"
2023-04-29 23:00:35,97,[583]
2023-04-29 23:00:36,99,"[625, 628]"
2023-04-29 23:00:37,98,"[643, 625]"
2023-04-29 23:00:38,98,[654]
2023-04-29 23:00:39,97,"[659, 619]"
2023-04-29 23:00:40,97,[648]
2023-04-29 23:00:41,97,"[647, 622]"
2023-04-29 23:00:42,97,"[646, 638]"
2023-04-29 23:00:43,96,[608]
2023-04-29 23:00:44,97,"[627, 633]"
2023-04-29 23:00:45,97,[613]
2023-04-29 23:00:46,98,"[641, 644]"
2023-04-29 23:00:47,97,"[632, 632]"
2023-04-29 23:00:48,97,[678]
2023-04-29 23:00:49,95,"[678, 657]"
2023-04-29 23:00:50,95,[673]
2023-04-29 23:00:51,94,"[646, 633]"
2023-04-29 23:00:52,95,"[639, 630]"
2023-04-29 23:00:53,95,[606]
2023-04-29 23:00:55,97,"[629, 605]"
2023-04-29 23:00:55,98,"[609, 629]"
2023-04-29 23:00:56,98,[644]
2023-04-29 23:00:57,98,"[617, 649]"
2023-04-29 23:01:10,96,[659]
2023-04-29 23:01:11,95,"[644, 604]"
2023-04-29 23:01:11,97,"[617, 591]"
2023-04-29 23:01:13,99,"[581, 562]"
2023-04-29 23:01:14,102,"[564, 558]"
2023-04-29 23:01:14,104,[549]
2023-04-29 23:01:16,107,"[551, 553]"
2023-04-29 23:01:17,108,"[570, 605]"
2023-04-29 23:01:17,107,[635]
2023-04-29 23:01:19,103,"[665, 627]"
2023-04-29 23:01:20,101,"[643, 628]"
2023-04-29 23:01:20,100,[615]
2023-04-29 23:01:22,100,"[588, 604]"
2023-04-29 23:01:23,101,"[607, 616]"
2023-04-29 23:01:24,101,[591]
2023-04-29 23:01:25,101,"[638, 641]"
2023-04-29 23:01:26,100,[684]
2023-04-29 23:01:26,97,"[638, 727]"
2023-04-29 23:01:28,96,[696]
2023-04-29 23:01:29,94,"[673, 685]"
2023-04-29 23:01:29,93,[706]
2023-04-29 23:01:31,91,"[716, 623]"
2023-04-29 23:01:32,91,[663]
2023-04-29 23:01:32,93,"[624, 596]"
2023-04-29 23:01:34,95,"[619, 588]"
2023-04-29 23:01:35,98,"[582, 569]"
2023-04-29 23:01:36,101,"[560, 557]"
2023-04-29 23:01:37,104,"[565, 560]"
2023-04-29 23:01:38,105,[550]
2023-04-29 23:01:39,107,"[555, 557]"
2023-04-29 23:01:40,108,"[562, 549]"
2023-04-29 23:01:41,109,"[551, 560]"
2023-04-29 23:01:42,109,"[576, 581]"
2023-04-29 23:01:43,109,[583]
2023-04-29 23:01:45,107,"[598, 608]"
2023-04-29 23:01:45,106,"[584, 595]"
2023-04-29 23:01:46,105,"[568, 588]"
2023-04-29 23:01:47,106,[582]
2023-04-29 23:01:49,106,"[577, 577]"
2023-04-29 23:01:49,106,"[581, 623]"
2023-04-29 23:01:50,105,[640]
2023-04-29 23:01:51,104,[654]
2023-04-29 23:01:52,100,"[708, 736]"
2023-04-29 23:01:53,97,[706]
2023-04-29 23:01:54,93,"[772, 714]"
2023-04-29 23:01:55,91,[694]
2023-04-29 23:01:56,91,"[645, 691]"
2023-04-29 23:01:57,91,[672]
2023-04-29 23:01:58,91,"[671, 606]"
2023-04-29 23:01:59,92,[658]
2023-04-29 23:02:00,93,"[647, 682]"
2023-04-29 23:02:01,93,[702]
2023-04-29 23:02:01,92,"[644, 718]"
2023-04-29 23:02:02,91,"[678, 666]"
2023-04-29 23:02:04,91,[642]
