Timestamp,Heart rate,RR intervals
2023-04-29 23:02:05,92,"[658, 673]"
2023-04-29 23:02:06,92,[656]
2023-04-29 23:02:07,92,"[686, 697]"
2023-04-29 23:02:08,92,[715]
2023-04-29 23:02:09,91,[677]
2023-04-29 23:02:20,89,[643]
2023-04-29 23:02:20,90,[685]
2023-04-29 23:02:22,90,"[684, 705]"
2023-04-29 23:02:23,90,[645]
2023-04-29 23:02:23,90,"[691, 693]"
2023-04-29 23:02:25,90,[695]
2023-04-29 23:02:26,90,"[671, 727]"
2023-04-29 23:02:26,90,[731]
2023-04-29 23:02:28,89,"[674, 740]"
2023-04-29 23:02:29,88,[723]
2023-04-29 23:02:30,88,"[649, 610]"
2023-04-29 23:02:31,91,"[592, 593]"
2023-04-29 23:02:32,93,[624]
2023-04-29 23:02:32,95,[671]
2023-04-29 23:02:34,93,"[752, 750]"
2023-04-29 23:02:35,91,[756]
2023-04-29 23:02:35,88,"[773, 762]"
2023-04-29 23:02:37,87,[711]
2023-04-29 23:02:38,87,"[721, 693]"
2023-04-29 23:02:38,87,[639]
2023-04-29 23:02:40,88,"[685, 664]"
2023-04-29 23:02:41,89,[670]
2023-04-29 23:02:41,90,"[630, 689]"
2023-04-29 23:02:43,90,[685]
2023-04-29 23:02:44,90,[683]
2023-04-29 23:02:44,90,"[730, 742]"
2023-04-29 23:02:46,89,[752]
2023-04-29 23:02:47,87,"[725, 758]"
2023-04-29 23:02:47,87,[745]
2023-04-29 23:02:49,86,"[691, 720]"
2023-04-29 23:02:50,86,[661]
2023-04-29 23:02:50,88,"[634, 683]"
2023-04-29 23:02:51,88,[675]
2023-04-29 23:02:52,89,[727]
2023-04-29 23:02:54,88,"[723, 775]"
2023-04-29 23:02:55,87,[767]
2023-04-29 23:02:56,86,"[718, 763]"
2023-04-29 23:02:57,85,[740]
2023-04-29 23:02:58,85,[700]
2023-04-29 23:02:59,85,"[736, 710]"
2023-04-29 23:03:00,85,[656]
2023-04-29 23:03:01,86,"[706, 690]"
2023-04-29 23:03:02,87,[690]
2023-04-29 23:03:03,87,"[703, 724]"
2023-04-29 23:03:04,87,[730]
2023-04-29 23:03:05,87,[708]
2023-04-29 23:03:06,86,"[765, 786]"
2023-04-29 23:03:07,85,[723]
2023-04-29 23:03:08,84,"[766, 722]"
2023-04-29 23:03:09,84,[661]
2023-04-29 23:03:10,85,"[716, 702]"
2023-04-29 23:03:11,86,[696]
2023-04-29 23:03:12,86,"[683, 709]"
2023-04-29 23:03:13,87,[700]
2023-04-29 23:03:14,87,"[640, 637]"
2023-04-29 23:03:15,89,[669]
2023-04-29 23:03:16,90,"[671, 638]"
2023-04-29 23:03:17,90,[669]
2023-04-29 23:03:18,91,"[677, 683]"
2023-04-29 23:03:19,91,"[636, 690]"
2023-04-29 23:03:20,91,[660]
2023-04-29 23:03:31,97,[649]
2023-04-29 23:03:32,97,"[638, 630]"
2023-04-29 23:03:32,97,"[614, 645]"
2023-04-29 23:03:34,97,[641]
2023-04-29 23:03:35,97,"[631, 639]"
2023-04-29 23:03:36,97,[644]
2023-04-29 23:03:37,97,"[624, 594]"
2023-04-29 23:03:38,98,"[614, 597]"
2023-04-29 23:03:38,100,"[568, 565]"
2023-04-29 23:03:40,103,"[564, 557]"
2023-04-29 23:03:41,106,"[551, 550]"
2023-04-29 23:03:41,107,[553]
2023-04-29 23:03:43,109,"[541, 547]"
2023-04-29 23:03:44,110,"[548, 531]"
2023-04-29 23:03:44,112,"[542, 540]"
2023-04-29 23:03:46,112,"[531, 526]"
2023-04-29 23:03:47,114,"[528, 526]"
2023-04-29 23:03:47,115,"[538, 562]"
2023-04-29 23:03:49,113,"[565, 548]"
2023-04-29 23:03:50,113,[544]
2023-04-29 23:03:50,112,"[557, 566]"
2023-04-29 23:03:52,111,"[565, 591]"
2023-04-29 23:03:53,109,"[596, 595]"
2023-04-29 23:03:53,108,[597]
2023-04-29 23:03:55,106,"[605, 601]"
2023-04-29 23:03:56,105,"[594, 608]"
2023-04-29 23:03:56,104,[616]
2023-04-29 23:03:58,103,"[613, 615]"
2023-04-29 23:03:59,102,"[623, 638]"
2023-04-29 23:03:59,101,[646]
2023-04-29 23:04:01,99,"[649, 686]"
2023-04-29 23:04:02,97,[677]
2023-04-29 23:04:03,95,"[678, 671]"
2023-04-29 23:04:04,94,[638]
2023-04-29 23:04:05,95,"[634, 633]"
2023-04-29 23:04:06,96,"[605, 615]"
2023-04-29 23:04:07,97,[615]
2023-04-29 23:04:08,98,"[633, 633]"
2023-04-29 23:04:09,97,[654]
2023-04-29 23:04:10,96,"[680, 710]"
2023-04-29 23:04:11,95,[727]
2023-04-29 23:04:12,92,"[737, 698]"
2023-04-29 23:04:14,91,[688]
2023-04-29 23:04:14,90,"[682, 659]"
2023-04-29 23:04:16,90,[626]
2023-04-29 23:04:16,93,"[613, 613]"
2023-04-29 23:04:17,95,"[611, 605]"
2023-04-29 23:04:18,97,"[617, 620]"
2023-04-29 23:04:19,97,[604]
2023-04-29 23:04:20,99,"[610, 588]"
2023-04-29 23:04:21,100,"[621, 621]"
2023-04-29 23:04:23,100,[619]
2023-04-29 23:04:23,99,"[631, 643]"
2023-04-29 23:04:24,99,"[609, 591]"
2023-04-29 23:04:25,99,[598]
2023-04-29 23:04:26,101,"[603, 600]"
2023-04-29 23:04:27,101,[610]
2023-04-29 23:04:28,101,"[618, 638]"
2023-04-29 23:04:29,99,"[655, 677]"
2023-04-29 23:04:29,98,[655]
2023-04-29 23:04:30,96,"[686, 669]"
2023-04-29 23:04:42,90,[699]
2023-04-29 23:04:43,89,[674]
2023-04-29 23:04:44,89,"[709, 703]"
2023-04-29 23:04:44,89,[717]
2023-04-29 23:04:46,88,"[685, 730]"
2023-04-29 23:04:47,88,[738]
2023-04-29 23:04:47,88,[703]
2023-04-29 23:04:49,87,"[759, 756]"
2023-04-29 23:04:50,86,[735]
2023-04-29 23:04:50,85,"[743, 736]"
2023-04-29 23:04:52,85,[721]
2023-04-29 23:04:53,85,"[707, 714]"
2023-04-29 23:04:53,85,[703]
2023-04-29 23:04:55,86,"[661, 678]"
2023-04-29 23:04:56,87,[673]
2023-04-29 23:04:56,88,"[634, 601]"
2023-04-29 23:04:58,91,"[621, 611]"
2023-04-29 23:04:59,93,[623]
2023-04-29 23:04:59,95,"[622, 630]"
2023-04-29 23:05:01,96,"[643, 659]"
2023-04-29 23:05:02,95,[627]
2023-04-29 23:05:02,96,"[641, 640]"
2023-04-29 23:05:04,96,"[639, 592]"
2023-04-29 23:05:05,97,[613]
2023-04-29 23:05:05,98,"[592, 570]"
2023-04-29 23:05:07,101,"[570, 561]"
2023-04-29 23:05:08,104,"[556, 560]"
2023-04-29 23:05:08,106,"[553, 549]"
2023-04-29 23:05:10,107,[563]
2023-04-29 23:05:11,108,"[578, 592]"
2023-04-29 23:05:12,107,"[567, 577]"
2023-04-29 23:05:13,107,"[575, 571]"
2023-04-29 23:05:14,107,"[568, 568]"
2023-04-29 23:05:15,107,[572]
2023-04-29 23:05:16,107,"[575, 578]"
2023-04-29 23:05:17,107,"[596, 612]"
2023-04-29 23:05:18,106,[598]
2023-04-29 23:05:19,104,"[615, 606]"
2023-04-29 23:05:19,103,"[585, 599]"
2023-04-29 23:05:20,104,"[563, 575]"
2023-04-29 23:05:22,105,"[560, 564]"
2023-04-29 23:05:23,106,[558]
2023-04-29 23:05:24,107,"[568, 581]"
2023-04-29 23:05:25,107,"[569, 574]"
2023-04-29 23:05:26,107,"[583, 562]"
2023-04-29 23:05:27,107,[553]
2023-04-29 23:05:28,108,"[582, 597]"
2023-04-29 23:05:29,107,[606]
2023-04-29 23:05:30,105,"[637, 696]"
2023-04-29 23:05:31,102,[736]
2023-04-29 23:05:32,96,[714]
2023-04-29 23:05:33,92,"[766, 780]"
2023-04-29 23:05:34,90,[771]
2023-04-29 23:05:35,88,"[750, 752]"
2023-04-29 23:05:37,87,[754]
2023-04-29 23:05:37,86,"[674, 674]"
2023-04-29 23:05:38,87,[662]
2023-04-29 23:05:39,88,"[661, 653]"
2023-04-29 23:05:40,89,[645]
2023-04-29 23:05:41,90,"[671, 714]"
2023-04-29 23:05:42,90,[736]
2023-04-29 23:05:53,108,"[563, 556]"
2023-04-29 23:05:53,109,[565]
2023-04-29 23:05:55,109,"[562, 564]"
2023-04-29 23:05:56,109,"[579, 595]"
2023-04-29 23:05:56,108,[614]
2023-04-29 23:05:58,105,"[642, 654]"
2023-04-29 23:05:59,103,[682]
2023-04-29 23:06:00,99,"[656, 634]"
2023-04-29 23:06:01,98,[655]
2023-04-29 23:06:02,97,"[656, 677]"
2023-04-29 23:06:02,96,[701]
2023-04-29 23:06:04,95,[751]
2023-04-29 23:06:05,91,"[763, 782]"
2023-04-29 23:06:05,89,[792]
2023-04-29 23:06:07,86,"[790, 760]"
2023-04-29 23:06:08,85,[704]
2023-04-29 23:06:08,86,"[671, 674]"
2023-04-29 23:06:10,86,[694]
2023-04-29 23:06:11,87,[749]
2023-04-29 23:06:11,87,[818]
2023-04-29 23:06:13,84,"[856, 840]"
2023-04-29 23:06:14,83,[802]
2023-04-29 23:06:14,82,[756]
2023-04-29 23:06:16,81,"[752, 742]"
2023-04-29 23:06:17,82,[745]
2023-04-29 23:06:17,82,"[691, 725]"
2023-04-29 23:06:19,83,[728]
2023-04-29 23:06:20,83,[753]
2023-04-29 23:06:20,83,"[740, 739]"
2023-04-29 23:06:22,83,[751]
2023-04-29 23:06:23,83,"[760, 708]"
2023-04-29 23:06:24,83,[709]
2023-04-29 23:06:25,83,[715]
2023-04-29 23:06:26,84,"[721, 729]"
2023-04-29 23:06:27,84,[720]
2023-04-29 23:06:28,84,"[740, 741]"
2023-04-29 23:06:29,84,[701]
2023-04-29 23:06:30,84,[731]
2023-04-29 23:06:31,84,"[749, 748]"
2023-04-29 23:06:32,84,[743]
2023-04-29 23:06:33,84,[775]
2023-04-29 23:06:34,83,"[784, 724]"
2023-04-29 23:06:35,83,[729]
2023-04-29 23:06:36,83,"[709, 666]"
2023-04-29 23:06:37,85,"[673, 661]"
2023-04-29 23:06:38,86,[656]
2023-04-29 23:06:39,88,"[634, 645]"
2023-04-29 23:06:40,89,[658]
2023-04-29 23:06:41,90,[686]
2023-04-29 23:06:43,90,"[683, 731]"
2023-04-29 23:06:43,90,[763]
2023-04-29 23:06:45,88,"[723, 757]"
2023-04-29 23:06:45,87,[751]
2023-04-29 23:06:46,86,[721]
2023-04-29 23:06:47,86,"[722, 726]"
2023-04-29 23:06:48,86,[718]
2023-04-29 23:06:49,86,"[689, 713]"
2023-04-29 23:06:50,86,[725]
2023-04-29 23:06:51,86,"[669, 674]"
2023-04-29 23:06:52,87,[677]
2023-04-29 23:06:53,88,"[696, 721]"
2023-04-29 23:07:10,84,"[709, 727]"
2023-04-29 23:07:11,84,[702]
2023-04-29 23:07:11,85,[743]
2023-04-29 23:07:13,84,"[760, 771]"
2023-04-29 23:07:14,84,[770]
2023-04-29 23:07:14,83,[798]
2023-04-29 23:07:16,82,"[806, 787]"
2023-04-29 23:07:17,81,[787]
2023-04-29 23:07:17,81,[790]
2023-04-29 23:07:19,81,"[760, 718]"
2023-04-29 23:07:20,81,[728]
2023-04-29 23:07:20,82,"[727, 702]"
2023-04-29 23:07:22,82,[724]
2023-04-29 23:07:23,83,[722]
2023-04-29 23:07:23,83,"[705, 738]"
2023-04-29 23:07:25,83,[756]
2023-04-29 23:07:26,83,[756]
2023-04-29 23:07:26,83,"[751, 766]"
2023-04-29 23:07:28,83,[760]
2023-04-29 23:07:29,82,"[733, 756]"
2023-04-29 23:07:29,82,[741]
2023-04-29 23:07:31,83,"[689, 700]"
2023-04-29 23:07:32,83,[694]
2023-04-29 23:07:32,84,[677]
2023-04-29 23:07:34,85,"[682, 723]"
2023-04-29 23:07:35,86,[783]
2023-04-29 23:07:36,85,[817]
2023-04-29 23:07:37,84,[767]
2023-04-29 23:07:38,83,"[823, 824]"
2023-04-29 23:07:39,82,[805]
2023-04-29 23:07:40,81,"[804, 797]"
2023-04-29 23:07:41,80,[745]
2023-04-29 23:07:42,81,"[694, 702]"
2023-04-29 23:07:43,81,[695]
2023-04-29 23:07:45,82,[685]
2023-04-29 23:07:45,84,"[670, 684]"
2023-04-29 23:07:46,85,[691]
2023-04-29 23:07:47,86,"[665, 693]"
2023-04-29 23:07:47,86,[720]
2023-04-29 23:07:48,87,[756]
2023-04-29 23:07:49,85,"[785, 763]"
2023-04-29 23:07:51,85,[791]
2023-04-29 23:07:52,83,"[786, 737]"
2023-04-29 23:07:53,83,[714]
2023-04-29 23:07:54,84,"[704, 702]"
2023-04-29 23:07:55,84,[663]
2023-04-29 23:07:56,86,"[653, 636]"
2023-04-29 23:07:57,88,"[624, 615]"
2023-04-29 23:07:58,90,[633]
2023-04-29 23:07:59,91,[641]
2023-04-29 23:08:00,92,"[701, 751]"
2023-04-29 23:08:01,91,[757]
2023-04-29 23:08:02,89,[796]
2023-04-29 23:08:03,86,"[809, 747]"
2023-04-29 23:08:04,85,[748]
2023-04-29 23:08:05,85,[745]
2023-04-29 23:08:06,84,"[729, 730]"
2023-04-29 23:08:08,84,[751]
2023-04-29 23:08:08,84,[766]
2023-04-29 23:08:09,84,"[729, 779]"
2023-04-29 23:08:20,83,[737]
2023-04-29 23:08:21,83,[758]
2023-04-29 23:08:22,83,"[726, 776]"
2023-04-29 23:08:23,83,[788]
2023-04-29 23:08:24,82,[724]
2023-04-29 23:08:25,82,"[743, 750]"
2023-04-29 23:08:26,82,[700]
2023-04-29 23:08:26,83,"[711, 718]"
2023-04-29 23:08:28,83,[737]
2023-04-29 23:08:29,84,"[700, 722]"
2023-04-29 23:08:30,84,[728]
2023-04-29 23:08:31,84,[748]
2023-04-29 23:08:32,84,"[723, 730]"
2023-04-29 23:08:32,84,[696]
2023-04-29 23:08:34,85,"[678, 685]"
2023-04-29 23:08:35,86,"[665, 648]"
2023-04-29 23:08:35,87,[658]
2023-04-29 23:08:37,89,"[654, 650]"
2023-04-29 23:08:38,90,[670]
2023-04-29 23:08:38,90,"[675, 659]"
2023-04-29 23:08:40,91,[680]
2023-04-29 23:08:41,91,"[684, 654]"
2023-04-29 23:08:41,91,[677]
2023-04-29 23:08:43,91,"[679, 672]"
2023-04-29 23:08:44,91,[671]
2023-04-29 23:08:44,91,"[685, 693]"
2023-04-29 23:08:46,91,[676]
2023-04-29 23:08:47,91,[712]
2023-04-29 23:08:47,90,"[723, 718]"
2023-04-29 23:08:49,89,[732]
2023-04-29 23:08:50,88,"[737, 716]"
2023-04-29 23:08:51,87,[695]
2023-04-29 23:08:53,87,"[714, 729]"
2023-04-29 23:08:53,87,[752]
2023-04-29 23:08:54,86,[748]
2023-04-29 23:08:55,85,"[768, 751]"
2023-04-29 23:08:56,85,[713]
2023-04-29 23:08:57,85,[740]
2023-04-29 23:08:58,84,"[746, 726]"
2023-04-29 23:08:59,84,[724]
2023-04-29 23:09:00,84,"[726, 738]"
2023-04-29 23:09:01,84,[711]
2023-04-29 23:09:02,84,[743]
2023-04-29 23:09:03,84,"[753, 732]"
2023-04-29 23:09:04,84,[784]
2023-04-29 23:09:05,84,[770]
2023-04-29 23:09:06,83,"[732, 760]"
2023-04-29 23:09:07,83,[745]
2023-04-29 23:09:08,83,"[721, 759]"
2023-04-29 23:09:09,83,[766]
2023-04-29 23:09:10,83,[750]
2023-04-29 23:09:11,82,"[798, 801]"
2023-04-29 23:09:13,82,[772]
2023-04-29 23:09:13,81,[742]
2023-04-29 23:09:14,81,"[755, 755]"
2023-04-29 23:09:15,81,[744]
2023-04-29 23:09:16,81,[758]
2023-04-29 23:09:17,81,"[765, 736]"
2023-04-29 23:09:18,81,[764]
2023-04-29 23:09:19,81,[762]
2023-04-29 23:09:20,81,"[732, 767]"
